ID,TWEETS
0, Since Trump is in the hospital I dont understand why he cant provide his court ordered DNA in his latest rape case.
1, Dow futures rise points in overnight trading as investors monitor Trump's health
2, Every single person in the vehicle during that completely unnecessary Presidential drive-by just now has to be quaranti
3, My father died of Covid alone in a hospital. I had to say goodbye to him over a phone. Trump got a joyride to sooth his
4,Closed travel from China but not other countrie
5, My father died of Covid alone in a hospital. I had to say goodbye to him over a phone. Trump got a joyride to sooth his
6, Incredible! President Trump always thinking of others !
7, Every member of Trump's detail should tell the detail's leader tomorrow that they are no longer wil
8," The more I think about it, the more concerned I am about th Amendment issues &amp; Trump's mental status. We know he was ""le"
9, Questions for Trumps medical team1. When was last negative test?2. What labs were abnormal?3. Does he have COVID
10,Trump could die in he next week- COVID19 is not predictable
11, WHAT WILL IT TAKE FOR TRUMP SUPPORTERS TO REALIZE .. HE DOESNT CARE ABOUT THEM?Despite learni
12," New from  is planning an ad campaign in Iowa to target Joni Ernst, who they see as one of"
13, What I learned today....Dogs and President Trump like to go for a car ride.Wuff.
14, Pure comedy. Trump propagandist just told CNN that Trump has followed all the protocols on coronavirus
15, Trump was willing to gamble even with the health and lives of his closest aides and donors. Why would anyone believe he h
16," Democrats were delivered bricks, lasers and molotov cocktails the past six months.Trump supporters were delivered pi"
17, Can you imagine what the polls would be if the Media had spent the past year trashing Joe Biden every single day - instead
18, WATCH Trump briefly leaves hospital to greet supporters
19,"My family love Trump, specially my brown Venezuelan mother."
20, Thousands of people w/ covid have died alone w/ no family around. And Trump is out playing queen for the day
21," If you read Mary Trump's book, you discover that in the Trump family, illness (including addiction) is seen as a *person"
22,"I swear to got that's what people are called trump once gets over covid and gets pity votes ""a hero"""
23, Questions for Trumps medical team1. When was last negative test?2. What labs were abnormal?3. Does he have COVID
24, President Trump beating COVID to own the libs
25, Media Trump's doctors say he could be discharged as soon as MondayMedia These other medical experts do not understand
26, Its genuinely funny that going back to well before the diagnosis Trump has no idea what a realistic photograph of a
27, If Biden had COVID Trump would be retweeting cartoons of himself pushing Bidens hospital bed off of a cliff
