ID,TWEETS
0,"RT #CoronaVirusUpdates #COVID19 India Tracker (As on 6 July 2020 08:00 AM) ▶ Confirmed cases 697,413 ▶ Active cas…"
1,RT Don’t you agree The most beautiful first lady ever! #Trump2020 #KAG2020 #Ccot #COVID19 #Salute2America #CNNSOTU #FoxAndFrie…
2,i wwould just like to share my work of art... im very proud of it #art #johnbee #yalikejazz #berriebbenson #COVID19 https://t.co/SW8szz7IAQ
3,The #COVID19 pandemic underscores the value of technology not only in crisis response but also in recovery 's https://t.co/S2UWcAI4mg
4,RT So a teacher tests positive Do they quarantine for 14 days Are those sick days Who pays for them Will they still be…
5,"RT ""I think right now we're where we were when New York City was having its peak epidemic, delivered one of…"
6,RT Hey so I got #Covid19 in March I’ve been sick for over 3 months w severe respiratory cardiovascular &amp neurological sym…
7,RT We cannot ignore #COVID19 because it’s inconvenient or we’re ready to go back to normal. If we work together we can flat…
8,#Covid19 #lockdowns turned has-beens like #printers roller blades and canned #soup into must-haves Here's https://t.co/8Pd3khxIbd
9,RT #Chennai after the lockdown easing People will never change but want everything to be done by government Without people…
10,RT #Chennai after the lockdown easing People will never change but want everything to be done by government Without people…
11,RT _hindu #Coronavirus Drugs Remdesivir Hydroxychloroquine Lopinavir/Ritonavir and Favipiravir currently being used for #COVID19…
12,RT Joel drove 18 hours from Chennai to Hyderabad and back for one injection of tocilizumab for his hospitalised father &amp pa…
13,RT These e-commerce majors are bringing them online handholding them to pivot and helping them find fresh opportunities in the m…
14,#coronavirusindia Kerala government on Sunday decided to impose triple lockdown in #Thiruvananthapuram corporation https://t.co/aWl3usxFmT
15,RT Hey so I got #Covid19 in March I’ve been sick for over 3 months w severe respiratory cardiovascular &amp neurological sym…
16,Just one bite or the whole apple It doesn't matter You've *all accepted a reality based on varying degrees of f https://t.co/pEzK9ydhgk
17,RT _Mobile You're all caught up!! Quarantine has got you all into googling your favourites on web Share us your most searched te…
18,RT #Coronavirus Don't believe in rumours Here's a look at the latest tally of deaths due to #Covid_19 around the count…
19,RT CM _amarinder Ji said that by wearing masks one could reduce the chances of getting infected by #Covid19 He mentioned arou…
20,RT Our updated #COVID19 dashboard provides you with official data and interactive visualizations. Check it out! 👉 https://t.co/Q5I…
21,RT _MV Today early morning at 04:35am an 80 years old Maldivian male admitted at DH11 has passed away. This is the 12th #COVID19 dea…
22,"RT #IndiaFightsCorona: #COVID19 India UPDATE: ▪ Total Cases 697,413 ▪️Active Cases 253,287 ▪️Cured/Discharged 424,…"
23,RT _Mobile Stay Protected Out of Virus &amp Germs By Shopping Vooki Hand Sanitizer at an Affordable Price. 500ml Rs 250 5 ltr :…
24,RT Ephesians 1:7 In whom we have redemption through his blood the forgiveness of sins according to the riches of his grac…
25,RT The death rates are going down despite the infection rate increasing (due to increased testing). This is very positive…
26,RT _ahuja #Covid19 Top 20 Countries India is likely to be in 3rd position today by taking over Russia https://t.co/FTIuiBWVOl @…
27,RT Sixty thousand years ago modern humans and Neanderthals interbred If you inherited one stretch of their DNA you are at m…
28,RT India overtakes Russia and enters 3rd spot #COVID19 #COVIDー19 #IndiaFightsCorona https://t.co/1xAS6SP1Ff
29,RT _INDIA #IndiaFightsCorona: Practise these COVID Appropriate Behaviours to protect yourself &amp others from #COVID19 #TogetherAg…
30,"RT 129,946 confirmed #covid19 deaths in the United States so far https://t.co/gadJKxkufH"
31,RT Aarti at Amarnath cave getting live streamed for first time due to #COVID19 pandemic #AmarnathYatra #amarnathyatra20…
32,I’m sharing some very interesting case experiences this Saturday Do join! #tavi #tavr #drsaisatish https://t.co/2sUetsoLus
33,RT #Trump knows the #Truth about #COVID19 See the full vid here on #YouTube 👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼 https://t.c…
34,Update 06.07 20 Thailand reported 5 new coronavirus cases on Monday with 0 deaths reported the total is now at https://t.co/eRO8QWFWEx
35,RT Wake up people...when health care gets rationed who do you think is going to pull the short straw This #COVID19 pande…
36,RT #Telangana Keeping a cap on #COVID19 test prices hospital charges proved to be useless Private labs charging as high a…
