ID,TWEETS
0, Rudy is a huge Perv!! He was watching the movie in the background!! No wonder his court cases are garbage!!
1,Why Gab? What's Gab?
2, U.S. hospitalizations top for the first time - CBS News
3,you dumb shitHistory is going to take a dump on you
4," If youre surprised that million Americans (22.3%) voted for on Nov , consider the fact that % of America"
5,Kerry you surely at some point in your life were able to think for yourself and not bei
6,"knowledgeable inside sources have also revealed is going a step further, mulling over"
7,"This isn't v It's v If is made president, we're seeing the begi"
8, of counties that always backed the Presidential winner voted for loser in .A single one of t
9,THOSE WHERE PROJETIONS.YOU BETTER WATCH THE ENTIRELY SHO
